,Observer,angleSeq,fstFrameN,percentS
0,lj0408b.xlsx,0,43,0.166666666667
1,lj0408b.xlsx,0,51,0.166666666667
2,lj0408b.xlsx,0,59,0.166666666667
3,lj0408b.xlsx,0,67,0.833333333333
4,lj0408b.xlsx,0,75,0.833333333333
5,lj0408b.xlsx,10,43,0.0
6,lj0408b.xlsx,10,51,0.166666666667
7,lj0408b.xlsx,10,59,0.0
8,lj0408b.xlsx,10,67,0.5
9,lj0408b.xlsx,10,75,0.666666666667
10,lj0408b.xlsx,20,43,0.0
11,lj0408b.xlsx,20,51,0.0
12,lj0408b.xlsx,20,59,0.0
13,lj0408b.xlsx,20,67,0.833333333333
14,lj0408b.xlsx,20,75,0.833333333333
15,lj0408b.xlsx,30,43,0.166666666667
16,lj0408b.xlsx,30,51,0.333333333333
17,lj0408b.xlsx,30,59,0.5
18,lj0408b.xlsx,30,67,0.666666666667
19,lj0408b.xlsx,30,75,0.666666666667
20,lj0408b.xlsx,40,43,0.166666666667
21,lj0408b.xlsx,40,51,0.166666666667
22,lj0408b.xlsx,40,59,0.5
23,lj0408b.xlsx,40,67,0.833333333333
24,lj0408b.xlsx,40,75,0.666666666667
25,lj0408b.xlsx,50,43,0.0
26,lj0408b.xlsx,50,51,0.5
27,lj0408b.xlsx,50,59,0.166666666667
28,lj0408b.xlsx,50,67,0.666666666667
29,lj0408b.xlsx,50,75,0.833333333333
30,lj0408b.xlsx,60,43,0.333333333333
31,lj0408b.xlsx,60,51,0.333333333333
32,lj0408b.xlsx,60,59,0.666666666667
33,lj0408b.xlsx,60,67,0.833333333333
34,lj0408b.xlsx,60,75,0.833333333333
35,lj0408b.xlsx,70,43,0.166666666667
36,lj0408b.xlsx,70,51,0.5
37,lj0408b.xlsx,70,59,0.5
38,lj0408b.xlsx,70,67,0.666666666667
39,lj0408b.xlsx,70,75,1.0
40,lj0408b.xlsx,80,43,0.0
41,lj0408b.xlsx,80,51,0.333333333333
42,lj0408b.xlsx,80,59,1.0
43,lj0408b.xlsx,80,67,1.0
44,lj0408b.xlsx,80,75,0.833333333333
