,angleSeq,fstFrameN,percentS,Observer,approxMs,totalNo
0,0,43,0.06666666666666667,pvm_147all.xlsx,716.6666666666667,30
1,0,51,0.13333333333333333,pvm_147all.xlsx,850.0000000000001,30
2,0,59,0.3,pvm_147all.xlsx,983.3333333333334,30
3,0,67,0.7333333333333333,pvm_147all.xlsx,1116.6666666666667,30
4,0,75,0.9,pvm_147all.xlsx,1250.0,30
5,10,43,0.0,pvm_147all.xlsx,716.6666666666667,30
6,10,51,0.0,pvm_147all.xlsx,850.0000000000001,30
7,10,59,0.2,pvm_147all.xlsx,983.3333333333334,30
8,10,67,0.5666666666666667,pvm_147all.xlsx,1116.6666666666667,30
9,10,75,0.7,pvm_147all.xlsx,1250.0,30
10,20,43,0.13333333333333333,pvm_147all.xlsx,716.6666666666667,30
11,20,51,0.26666666666666666,pvm_147all.xlsx,850.0000000000001,30
12,20,59,0.43333333333333335,pvm_147all.xlsx,983.3333333333334,30
13,20,67,0.6333333333333333,pvm_147all.xlsx,1116.6666666666667,30
14,20,75,0.8,pvm_147all.xlsx,1250.0,30
15,30,43,0.0,pvm_147all.xlsx,716.6666666666667,30
16,30,51,0.06666666666666667,pvm_147all.xlsx,850.0000000000001,30
17,30,59,0.3333333333333333,pvm_147all.xlsx,983.3333333333334,30
18,30,67,0.7666666666666667,pvm_147all.xlsx,1116.6666666666667,30
19,30,75,0.7666666666666667,pvm_147all.xlsx,1250.0,30
20,40,43,0.06666666666666667,pvm_147all.xlsx,716.6666666666667,30
21,40,51,0.3,pvm_147all.xlsx,850.0000000000001,30
22,40,59,0.7333333333333333,pvm_147all.xlsx,983.3333333333334,30
23,40,67,0.8,pvm_147all.xlsx,1116.6666666666667,30
24,40,75,0.9333333333333333,pvm_147all.xlsx,1250.0,30
25,50,43,0.06666666666666667,pvm_147all.xlsx,716.6666666666667,30
26,50,51,0.16666666666666666,pvm_147all.xlsx,850.0000000000001,30
27,50,59,0.5333333333333333,pvm_147all.xlsx,983.3333333333334,30
28,50,67,0.6666666666666666,pvm_147all.xlsx,1116.6666666666667,30
29,50,75,0.8666666666666667,pvm_147all.xlsx,1250.0,30
30,60,43,0.06666666666666667,pvm_147all.xlsx,716.6666666666667,30
31,60,51,0.3,pvm_147all.xlsx,850.0000000000001,30
32,60,59,0.5666666666666667,pvm_147all.xlsx,983.3333333333334,30
33,60,67,0.9,pvm_147all.xlsx,1116.6666666666667,30
34,60,75,0.9333333333333333,pvm_147all.xlsx,1250.0,30
35,80,43,0.03333333333333333,pvm_147all.xlsx,716.6666666666667,30
36,80,51,0.23333333333333334,pvm_147all.xlsx,850.0000000000001,30
37,80,59,0.5333333333333333,pvm_147all.xlsx,983.3333333333334,30
38,80,67,0.7333333333333333,pvm_147all.xlsx,1116.6666666666667,30
39,80,75,0.7666666666666667,pvm_147all.xlsx,1250.0,30
