,baseName,mod,pse,angle,slopeHack,trueIntercept,trueSlope,true75,true25,pse25
0,P1All,1,1.1948463230882058,30,1.7344313193787995,1.1947854522057204,3.9563630731503676,1.2579747994364159,1.131596104975025,1.1316554436962465
1,P1All,-1,1.284732315487699,30,1.486558380378377,1.2846543379618203,2.6305997149334073,1.3796897014117584,1.1896189745118821,1.1896193079538635
2,P1All,1,1.1107473831588772,40,1.4737124064511116,1.1106556937973462,2.5862722437362966,1.2073199179931848,1.0139914696015075,1.0140476031735448
3,P1All,-1,1.2182745516367757,40,1.4187953407414247,1.2182263454969096,2.4097639515817346,1.3219709466375746,1.1144817443562445,1.1145743049536636
4,P1All,1,1.0801320088005866,50,1.761299003049152,1.0801310928163483,4.22397956557003,1.1393169852003382,1.0209452004323585,1.0209547303153543
5,P1All,-1,1.1620841389425962,50,1.3927640407734965,1.1620475497040044,2.332447631956889,1.2692310922516472,1.0548640071563615,1.0549303286885792
6,P1All,1,1.1005733715581039,60,1.4019188610087754,1.100569543704619,2.3592217618527083,1.2065366910251294,0.9946023963841086,0.994632975531702
7,P1All,-1,1.2697979865324354,60,1.3479228033343555,1.2697449421915272,2.207219949893951,1.3830095944125311,1.1564802899705233,1.1564837655843723
8,P1All,1,0.985019001266751,70,1.4157102732239881,0.9849382280219711,2.40040626652636,1.0890872645772607,0.8807891914666816,0.880852056803787
9,P1All,-1,1.1629241949463298,70,1.2456913482228351,1.162872930950256,1.951830835980938,1.290957801519665,1.0347880603808468,1.0348623241549437
10,P1All,1,1.0326221748116542,80,0.8712397508690968,1.0326000775366135,1.226887462590015,1.2363677478592352,0.8288324072139919,0.8288619241282751
11,P1All,-1,1.2036202413494232,80,0.9652018618621208,1.2035549558361471,1.3877066006845435,1.3837083109305721,1.0234016007417222,1.0234748983265551
